Date,Open,High,Low,Close,Adj Close,Volume
2/1/2020,7.139999866,7.210000038,7.119999886,7.159999847,6.985208035,4980666
3/1/2020,7.28000021,7.309999943,7.159999847,7.190000057,7.014475822,2763615
6/1/2020,7.010000229,7.03000021,6.909999847,7,6.82911396,7859151
7/1/2020,7.230000019,7.255000114,7.079999924,7.099999905,6.926672935,7589056
8/1/2020,7.050000191,7.079999924,6.760000229,6.860000134,6.692532063,13449760
9/1/2020,6.96999979,7,6.900000095,6.949999809,6.780334473,6173211
10/1/2020,6.989999771,7.059999943,6.960000038,7,6.82911396,4450193
13/1/2020,6.980000019,7.059999943,6.980000019,7.019999981,6.84862566,3842992
14/1/2020,7.090000153,7.150000095,7.079999924,7.110000134,6.936429024,4958613
15/1/2020,7.170000076,7.199999809,7.019999981,7.039999962,6.86813736,10472071
16/1/2020,7.039999962,7.070000172,7.019999981,7.070000172,6.897405624,10728336
17/1/2020,7.119999886,7.150000095,7.099999905,7.150000095,6.975452423,9619822
20/1/2020,7.150000095,7.150000095,7.03000021,7.050000191,6.877893448,6159123
21/1/2020,7,7,6.909999847,6.929999828,6.760822773,6672381
22/1/2020,6.809999943,6.880000114,6.784999847,6.789999962,6.624240398,12568941
23/1/2020,6.789999962,6.829999924,6.650000095,6.659999847,6.497414112,14837799
24/1/2020,6.75,6.789999962,6.710000038,6.710000038,6.5461936,9301187
28/1/2020,6.380000114,6.46999979,6.28000021,6.360000134,6.20473814,13515560
29/1/2020,6.440000057,6.539999962,6.389999866,6.510000229,6.351076126,19818269
30/1/2020,6.519999981,6.539999962,6.480000019,6.519999981,6.360831738,10004597
31/1/2020,6.46999979,6.519999981,6.409999847,6.409999847,6.253517151,10154134
3/2/2020,6.199999809,6.375,6.199999809,6.369999886,6.214493752,8360451
4/2/2020,6.449999809,6.579999924,6.420000076,6.510000229,6.351076126,10334706
5/2/2020,6.699999809,6.699999809,6.519999981,6.559999943,6.399855614,11110021
6/2/2020,6.579999924,6.659999847,6.579999924,6.659999847,6.497414112,6065016
7/2/2020,6.730000019,6.739999771,6.465000153,6.480000019,6.321808338,7317524
